1452,1828
1272,1753
637,529
1395,664
1846,1652
1597,1570
1600,1902
1458,1469
1960,1677
2377,1378
1546,1790
1297,1890
949,1594
835,1429
1434,1368
1681,1353
1198,1413
1613,1640
299,197
1135,105
1006,1534
1507,1715
2201,1526
1846,1802
1383,1961
1600,1480
1544,1856
964,1445
913,1560
1229,1052
1073,1022
792,1363
2283,1412
40,168
1782,1700
1488,1637
1397,1270
1023,1602
2046,1619
1320,702
1098,1662
1636,1841
2233,1458
253,182
403,260
1183,1705
1357,1208
1618,1378
1713,1750
1470,1556
1620,1720
1148,1347
1450,427
950,933
1070,1117
1228,170
486,323
560,447
550,376
1844,1879
1907,1748
1631,1115
1084,755
1162,898
1645,1242
1107,1199
160,168
1186,987
2132,1563
1550,2039
1887,1530
1621,1177
865,1481
1622,2091
1661,1292
1009,823
101,170
1305,1143
734,663
1360,1777
1022,974
1495,1932
1164,1013
1748,1821
